1, Angelic Axe, 44, 24, Cavaleiro, 45, 0, 56.00;
2, Axe, 12, 6, none, 0, 0, 40.00;
3, Axe of Carving, 51, 31, Cavaleiro, 100, 0, 50.00;
4, Axe of Carving (Charged), 50, 30, Cavaleiro, 150, 0, 50.00;
5, Axe of Carving (Heavily Charged), 51, 31, Cavaleiro, 200, 0, 50.00;
6, Axe of Carving (Overcharged), 52, 33, Cavaleiro, 250, 0, 50.00;
7, Axe of Destruction, 51, 31, Cavaleiro, 200, 0, 50.00;
8, Axe of Mayhem, 51, 31, Cavaleiro, 100, 0, 50.00;
9, Axe of Mayhem (Charged), 50, 30, Cavaleiro, 150, 0, 50.00;
10, Axe of Mayhem (Heavily Charged), 51, 31, Cavaleiro, 200, 0, 50.00;
11, Axe of Mayhem (Overcharged), 52, 33, Cavaleiro, 250, 0, 50.00;
12, Axe of Remedy, 51, 31, Cavaleiro, 100, 0, 50.00;
13, Axe of Remedy (Charged), 50, 30, Cavaleiro, 150, 0, 50.00;
14, Axe of Remedy (Heavily Charged), 51, 31, Cavaleiro, 200, 0, 50.00;
15, Axe of Remedy (Overcharged), 52, 33, Cavaleiro, 250, 0, 50.00;
16, Barbarian Axe, 28, 18, none, 20, 0, 51.00;
17, Battle Axe, 25, 10, Cavaleiro, 0, 0, 50.00;
18, Beastslayer Axe, 35, 12, none, 30, 0, 61.50;
19, Butcher's Axe, 41, 24, none, 45, 0, 63.00;
20, Chopper of Carving, 52, 32, Cavaleiro, 100, 0, 70.00;
21, Chopper of Carving (Charged), 51, 31, Cavaleiro, 150, 0, 70.00;
22, Chopper of Carving (Heavily Charged), 52, 32, Cavaleiro, 200, 0, 70.00;
23, Chopper of Carving (Overcharged), 53, 35, Cavaleiro, 250, 0, 70.00;
24, Chopper of Destruction, 52, 30, Cavaleiro, 200, 0, 70.00;
25, Chopper of Mayhem, 52, 32, Cavaleiro, 100, 0, 70.00;
26, Chopper of Mayhem (Charged), 51, 37, Cavaleiro, 150, 0, 70.00;
27, Chopper of Mayhem (Heavily Charged), 52, 32, Cavaleiro, 200, 0, 70.00;
28, Chopper of Mayhem (Overcharged), 53, 35, Cavaleiro, 250, 0, 70.00;
29, Chopper of Remedy, 52, 32, Cavaleiro, 100, 0, 70.00;
30, Chopper of Remedy (Charged), 51, 31, Cavaleiro, 150, 0, 70.00;
31, Chopper of Remedy (Heavily Charged), 52, 32, Cavaleiro, 200, 0, 70.00;
32, Chopper of Remedy (Overcharged), 53, 35, Cavaleiro, 250, 0, 70.00;
33, Cobra Axe, 8, 29, Cavaleiro, 220, 0, 40.00;
34, Crude Umbral Axe, 49, 24, Cavaleiro, 75, 0, 90.00;
35, Crude Umbral Chopper, 51, 27, Cavaleiro, 75, 0, 120.00;
36, Crystalline Axe, 51, 29, none, 120, 0, 76.00;
37, Daramian Axe, 17, 8, none, 0, 0, 41.00;
38, Daramian Waraxe, 39, 15, Cavaleiro, 25, 0, 52.50;
39, Deepling Axe, 49, 29, none, 80, 0, 91.00;
40, Demonwing Axe, 53, 20, Cavaleiro, 120, 0, 120.00;
41, Double Axe, 35, 12, Cavaleiro, 25, 0, 70.00;
